,,22,Alcomagic,,269.75,,22,Alcomagic,4,,H,N,H,H,,22,Yazhneloh,7,,22,Zavrikk,2,6,0,0,,22,Killadk,2665
,,23,Abskurial,,269.31,,23,Evodrowa,4,H,H,,H,H,,23,Бодя,7,,23,Peresmishnyk,2,5,1,1,,23,Lumiral,2651
,,24,Lamiane,,268.88,,24,Killadk,4,M,,H,H,H,,24,Lumiral,6,,24,Yazhneloh,2,5,1,1,,24,Zavrikk,2632
,,25,Брандрейн,,267.56,,25,Mørw,4,H,H,H,H,,,25,Lamiane,5,,25,Lumiral,2,4,1,0,,25,Yazhneloh,2604
,,26,Boomiechu,,267.19,,26,Seizar,4,N,H,H,,H,,26,Zavrikk,5,,26,Boomiechu,2,4,0,1,,26,Seizar,2569
,,27,Yazhneloh,,266.13,,27,Zavrikk,4,H,H,M,H,,,27,Evodrowa,4,,27,Lamiane,2,3,1,1,,27,Mcmorrio,2548
,,28,Evodrowa,,264.44,,28,Lamiane,4,N,,H,H,N,,28,Peresmishnyk,4,,28,Артемион,1,7,0,0,,28,Peresmishnyk,2460
,,29,Peresmishnyk,,264.31,,29,Брандрейн,4,H,,H,H,H,,29,Артемион,4,,29,Evodrowa,0,5,0,0,,29,Evodrowa,1904
,,30,,,,,30,,,,,,,,,30,,,,30,,,,,,,30,,
,,31,,,,,31,,,,,,,,,31,,,,31,,,,,,,31,,
,,32,,,,,32,,,,,,,,,32,,,,32,,,,,,,32,,
,,33,,,,,33,,,,,,,,,33,,,,33,,,,,,,33,,
,,34,,,,,34,,,,,,,,,34,,,,34,,,,,,,34,,
,,35,,,,,35,,,,,,,,,35,,,,35,,,,,,,35,,
,,36,,,,,36,,,,,,,,,36,,,,36,,,,,,,36,,
,,37,,,,,37,,,,,,,,,37,,,,37,,,,,,,37,,
,,38,,,,,38,,,,,,,,,38,,,,38,,,,,,,38,,
,,39,,,,,39,,,,,,,,,39,,,,39,,,,,,,39,,
,,40,,,,,40,,,,,,,,,40,,,,40,,,,,,,40,,
,,41,,,,,41,,,,,,,,,41,,,,41,,,,,,,41,,
,,42,,,,,42,,,,,,,,,42,,,,42,,,,,,,42,,
,,43,,,,,43,,,,,,,,,43,,,,43,,,,,,,43,,
,,44,,,,,44,,,,,,,,,44,,,,44,,,,,,,44,,
,,45,,,,,45,,,,,,,,,45,,,,45,,,,,,,45,,
,,46,,,,,46,,,,,,,,,46,,,,46,,,,,,,46,,
,,47,,,,,47,,,,,,,,,47,,,,47,,,,,,,47,,
,,48,,,,,48,,,,,,,,,48,,,,48,,,,,,,48,,
,,49,,,,,49,,,,,,,,,49,,,,49,,,,,,,49,,
,,50,,,,,50,,,,,,,,,50,,,,50,,,,,,,50,,
,,51,,,,,51,,,,,,,,,51,,,,51,,,,,,,51,,
,,52,,,,,52,,,,,,,,,52,,,,52,,,,,,,52,,
,,53,,,,,53,,,,,,,,,53,,,,53,,,,,,,53,,
,,54,,,,,54,,,,,,,,,54,,,,54,,,,,,,54,,
,,55,,,,,55,,,,,,,,,55,,,,55,,,,,,,55,,
,,56,,,,,56,,,,,,,,,56,,,,56,,,,,,,56,,
,,57,,,,,57,,,,,,,,,57,,,,57,,,,,,,57,,
,,58,,,,,58,,,,,,,,,58,,,,58,,,,,,,58,,
,,59,,,,,59,,,,,,,,,59,,,,59,,,,,,,59,,
,,60,,,,,60,,,,,,,,,60,,,,60,,,,,,,60,,
,,61,,,,,61,,,,,,,,,61,,,,61,,,,,,,61,,
,,62,,,,,62,,,,,,,,,62,,,,62,,,,,,,62,,
,,63,,,,,63,,,,,,,,,63,,,,63,,,,,,,63,,
,,64,,,,,64,,,,,,,,,64,,,,64,,,,,,,64,,
,,65,,,,,65,,,,,,,,,65,,,,65,,,,,,,65,,
,,66,,,,,66,,,,,,,,,66,,,,66,,,,,,,66,,
,,67,,,,,67,,,,,,,,,67,,,,67,,,,,,,67,,
,,68,,,,,68,,,,,,,,,68,,,,68,,,,,,,68,,
,,69,,,,,69,,,,,,,,,69,,,,69,,,,,,,69,,
,,70,,,,,70,,,,,,,,,70,,,,70,,,,,,,70,,
,,71,,,,,71,,,,,,,,,71,,,,71,,,,,,,71,,
,,72,,,,,72,,,,,,,,,72,,,,72,,,,,,,72,,
,,73,,,,,73,,,,,,,,,73,,,,73,,,,,,,73,,
,,74,,,,,74,,,,,,,,,74,,,,74,,,,,,,74,,
,,75,,,,,75,,,,,,,,,75,,,,75,,,,,,,75,,
,,76,,,,,76,,,,,,,,,76,,,,76,,,,,,,76,,
,,77,,,,,77,,,,,,,,,77,,,,77,,,,,,,77,,
,,78,,,,,78,,,,,,,,,78,,,,78,,,,,,,78,,
,,79,,,,,79,,,,,,,,,79,,,,79,,,,,,,79,,
,,80,,,,,80,,,,,,,,,80,,,,80,,,,,,,80,,
,,81,,,,,81,,,,,,,,,81,,,,81,,,,,,,81,,
,,82,,,,,82,,,,,,,,,82,,,,82,,,,,,,82,,
,,83,,,,,83,,,,,,,,,83,,,,83,,,,,,,83,,
,,84,,,,,84,,,,,,,,,84,,,,84,,,,,,,84,,
,,85,,,,,85,,,,,,,,,85,,,,85,,,,,,,85,,
,,86,,,,,86,,,,,,,,,86,,,,86,,,,,,,86,,
,,87,,,,,87,,,,,,,,,87,,,,87,,,,,,,87,,
,,88,,,,,88,,,,,,,,,88,,,,88,,,,,,,88,,
,,89,,,,,89,,,,,,,,,89,,,,89,,,,,,,89,,
,,90,,,,,90,,,,,,,,,90,,,,90,,,,,,,90,,
,,91,,,,,91,,,,,,,,,91,,,,91,,,,,,,91,,
,,92,,,,,92,,,,,,,,,92,,,,92,,,,,,,92,,
,,93,,,,,93,,,,,,,,,93,,,,93,,,,,,,93,,
,,94,,,,,94,,,,,,,,,94,,,,94,,,,,,,94,,
,,95,,,,,95,,,,,,,,,95,,,,95,,,,,,,95,,
,,96,,,,,96,,,,,,,,,96,,,,96,,,,,,,96,,
,,97,,,,,97,,,,,,,,,97,,,,97,,,,,,,97,,
,,98,,,,,98,,,,,,,,,98,,,,98,,,,,,,98,,
,,99,,,,,99,,,,,,,,,99,,,,99,,,,,,,99,,
,,100,,,,,100,,,,,,,,,100,,,,100,,,,,,,100,,
,,,Average,,270.00,,,Median,,4,,,,,,,Total,364,,,,,,,,,,,
